symbol,published_at,title,summary,source,url,category,event_type,sentiment_score,relevance_score,impact_score,risk_flag
MSFT,2026-07-05T06:30:00+00:00,Microsoft cloud backlog remains resilient,Sample note: cloud and AI infrastructure demand remain supportive for enterprise software leaders.,Atlas Sample Desk,https://example.com/msft-cloud,company,ai_cloud,0.38,86,78,false
MSFT,2026-07-04T14:00:00+00:00,Analysts highlight AI monetization path,Sample note: analyst commentary points to durable AI monetization but valuation remains a risk.,Atlas Sample Desk,https://example.com/msft-ai,analyst,analyst_revision,0.24,72,66,false
NVDA,2026-07-05T07:15:00+00:00,AI accelerator demand continues to dominate sector flows,Sample note: semiconductor leadership remains strong, but crowded positioning may amplify volatility.,Atlas Sample Desk,https://example.com/nvda-ai,company,sector_momentum,0.42,91,89,false
NVDA,2026-07-03T16:10:00+00:00,Export controls remain a watch item for advanced chips,Sample note: regulatory headlines can create gap risk in high-momentum semiconductor names.,Atlas Sample Desk,https://example.com/nvda-export,policy,regulatory_risk,-0.28,76,74,true
V,2026-07-05T05:45:00+00:00,Payments volume trends remain stable,Sample note: resilient consumer and cross-border payment data support quality payment networks.,Atlas Sample Desk,https://example.com/visa-volume,company,payment_volume,0.31,82,70,false
V,2026-07-02T12:30:00+00:00,Regulatory fee pressure watched by investors,Sample note: payment networks face recurring regulatory scrutiny around fees and competition.,Atlas Sample Desk,https://example.com/visa-reg,policy,regulatory_risk,-0.18,63,57,true
CRWD,2026-07-05T08:00:00+00:00,Cybersecurity budgets stay priority for enterprises,Sample note: enterprise cyber demand remains a positive thematic catalyst for security platforms.,Atlas Sample Desk,https://example.com/crwd-cyber,sector,cybersecurity,0.34,84,76,false
CRWD,2026-07-04T09:00:00+00:00,Execution risk remains after fast share-price recovery,Sample note: high-growth cybersecurity names can re-rate quickly when execution or churn concerns appear.,Atlas Sample Desk,https://example.com/crwd-risk,company,execution_risk,-0.12,58,54,true
XLE,2026-07-05T06:00:00+00:00,Energy equities supported by supply discipline,Sample note: supply discipline and geopolitical risk keep energy exposure relevant as portfolio diversifier.,Atlas Sample Desk,https://example.com/xle-energy,sector,energy_supply,0.22,70,68,false
XLE,2026-07-03T06:00:00+00:00,Oil volatility remains elevated,Sample note: commodity-linked ETFs can diversify but require volatility-aware sizing.,Atlas Sample Desk,https://example.com/xle-vol,commodity,commodity_volatility,-0.05,64,60,true
MARKET,2026-07-05T06:10:00+00:00,Risk appetite improves as mega-cap trend remains constructive,Sample note: broad equity proxies remain technically constructive in the offline MVP sample set.,Atlas Sample Desk,https://example.com/market-risk,macro,market_regime,0.26,80,72,false
FED,2026-07-04T18:30:00+00:00,Rates calendar remains important for growth multiples,Sample note: rate expectations can materially affect high-duration growth and AI equities.,Atlas Sample Desk,https://example.com/fed-rates,macro,macro_calendar,-0.06,66,60,true
VIX,2026-07-05T06:20:00+00:00,Volatility proxy remains contained,Sample note: lower implied volatility supports normal position sizing, subject to market regime checks.,Atlas Sample Desk,https://example.com/vix-contained,macro,volatility,0.18,74,65,false
